"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
14,"control","incongruent","red","yellow",81,"yellow",1,822,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","blue","yellow",82,"yellow",1,593,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",83,"yellow",1,777,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",84,"blue",1,577,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",85,"blue",1,521,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","yellow","blue",86,"blue",1,522,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",87,"red",1,554,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",88,"red",1,576,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","yellow","red",89,"red",1,550,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","yellow","yellow",90,"yellow",1,1311,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","red","red",91,"red",1,1033,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","blue","yellow",92,"yellow",1,1179,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",93,"blue",1,693,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","congruent","blue","blue",94,"blue",1,536,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
14,"control","incongruent","blue","red",95,"red",1,703,1,1,1,1,3.9,1,0.333333333333333,1.66666666666667,4.22222222222222,4.46153846153846,3.4
